Reward ID,Reward Name,Reward Description,Start Date,Expiration Date,Category
AMEX001,20% off Ray-Ban Sunglasses,Treat yourself to a new pair of stylish sunglasses from Ray-Ban and enjoy 20% off your purchase.,2024-05-01,2024-06-30,Attire
AMEX002,$50 Statement Credit on New Samsung Galaxy Phone,Upgrade your phone and get a $50 statement credit when you purchase a new Samsung Galaxy phone at participating retailers.,2024-04-15,2024-05-31,Electronics
AMEX003,10% off All KitchenAid Appliances,"Spruce up your kitchen with 10% off all KitchenAid appliances, perfect for making delicious meals at home.",2024-04-20,2024-05-20,Home
AMEX004,Free Audiobook with Audible Trial,Dive into a new world with a free audiobook when you start a trial membership with Audible.,2024-04-01,2024-06-30,Books
AMEX005,15% off Fenty Beauty Products,Enhance your natural beauty with 15% off all Fenty Beauty products.,2024-05-10,2024-06-15,Cosmetics
AMEX007,20% off Select Home Decor at West Elm,Refresh your home with 20% off select home decor items at West Elm.,2024-04-25,2024-05-25,Home
AMEX008,Free E-reader with Purchase of Any Book at Barnes & Noble,Enjoy a convenient way to read your favorite books with a free e-reader when you purchase any book at Barnes & Noble.,2024-05-05,2024-06-10,Books
AMEX009,"Buy One, Get One 50% Off All Men's Shirts at J.Crew","Update your wardrobe with a buy one, get one 50% off deal on all men's shirts at J.Crew.",2024-05-20,2024-06-20,Attire
AMEX0010,Up to $25 Cash Back on Online Groceries with Instacart,Get up to $25 cash back when you use your Amex card to order groceries for delivery or pickup through Instacart.,2024-04-28,2024-05-28,Electronics 
AMEX0011,20% off Annual Subscription to The New York Times,Stay informed with a 20% discount on an annual subscription to The New York Times.,2024-05-01,2024-06-15,Books
AMEX0012,Free Travel-Sized Skincare Kit with $75 Purchase at Sephora,Pamper yourself with a free travel-sized skincare kit when you spend $75 or more on skincare products at Sephora.,2024-05-12,2024-06-02,Cosmetics
AMEX015,25% off Running Shoes at Brooks Running,Hit the ground running with 25% off a new pair of running shoes at Brooks Running.,2024-05-15,2024-06-10,Attire
AMEX016,Free Fitness Tracker with Purchase of Smartwatch,Track your fitness goals and receive a free fitness tracker when you purchase a smartwatch from participating retailers.,2024-05-05,2024-05-25,Electronics
AMEX017,10% off All Cookware at Le Creuset,Invest in quality cookware and enjoy 10% off all Le Creuset items.,2024-05-01,2024-05-31,Home
AMEX018,Free tote bag with purchase of any Harry Potter book,Celebrate the magic of Harry Potter with a free tote bag when you purchase any Harry Potter book.,2024-04-20,2024-05-20,Books
AMEX019,Travel-sized beauty essentials set with $50 purchase at Ulta Beauty,Stock up on your favorite beauty essentials and receive a travel-sized beauty kit when you spend $50 or more at Ulta Beauty.,2024-05-20,2024-06-20,Cosmetics
AMEX021,20% off Women's Dresses at Reformation,Refresh your wardrobe with 20% off all women's dresses at Reformation.,2024-04-25,2024-05-25,Attire
AMEX022,Free Noise-Cancelling Headphones with Purchase of Select Laptops,Immerse yourself in your work or entertainment with free noise-cancelling headphones when you purchase a select laptop from participating retailers.,2024-05-10,2024-06-15,Electronics
AMEX023,15% off All Outdoor Furniture at Pottery Barn,Spruce up your patio with 15% off all outdoor furniture at Pottery Barn.,2024-04-30,2024-05-30,Home
AMEX024,Free Audiobook with Subscription to Kindle Unlimited,Explore a vast library of audiobooks with a free trial of Kindle Unlimited.,2024-05-12,2024-06-12,Books
AMEX025,20% off All Makeup Brushes at Sephora,Apply your makeup flawlessly with 20% off all makeup brushes at Sephora.,2024-05-15,2024-06-05,Cosmetics
AMEX027,30% off Men's Suits at Hugo Boss,Elevate your work wardrobe with 30% off all men's suits at Hugo Boss.,2024-05-20,2024-06-20,Attire
AMEX028,Extended Warranty on Major Appliances at Participating Retailers,Purchase a major appliance with your Amex card and receive an extended warranty.,2024-05-01,2024-05-31,Electronics
